protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
CAK9043519.1	GCA_963969995.1	peroxisome	K00232	4.50E-66	224.3	161.63	33	435	106	513	481	32	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9057602.1	GCA_963969995.1	peroxisome	K00273	7.00E-72	243.5	129.4	2	365	34	351	370	1	True	False	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
CAK9057637.1	GCA_963969995.1	peroxisome	K00232	5.30E-202	673.8	161.63	5	656	55	696	1283	4	True	False	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9114223.1	GCA_963969995.1	peroxisome	K00232	1.40E-176	589.8	161.63	26	688	55	691	719	25	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9072805.1	GCA_963970005.1	peroxisome	K00232	4.70E-199	664.1	161.63	5	671	55	694	1319	4	True	False	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9075401.1	GCA_963970005.1	peroxisome	K00232	3.90E-60	204.7	161.63	70	470	89	485	530	69	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
CAK9116516.1	GCA_963970005.1	peroxisome	K00232	4.50E-58	197.9	161.63	143	638	94	590	968	142	True	True	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
OLP91352.1	GCA_001939145.1	plasma_membrane	K01535	1.30E-247	825.3	585.47	35	891	99	904	1373	34	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE7264577.1	GCA_905221605.1	plasma_membrane	K01535	1.80E-227	758.5	585.47	20	924	98	922	962	19	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE7316578.1	GCA_905221605.1	plasma_membrane	K01535	7.00E-252	839.4	585.47	22	880	94	896	930	21	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE7512503.1	GCA_905221605.1	plasma_membrane	K01535	1.60E-251	838.2	585.47	47	907	92	896	959	46	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE7292687.1	GCA_905231915.1	plasma_membrane	K01535	1.10E-214	716.1	585.47	1	859	138	923	915	0	True	False	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE7404220.1	GCA_905231915.1	plasma_membrane	K01535	1.10E-242	808.9	585.47	81	893	100	886	1297	80	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE8590112.1	GCA_905237085.1	plasma_membrane	K06188	2.70E-64	217.9	267.57	145	393	58	281	406	144	True	True	aqpZ, aqpM, AQP9; aquaporin
CAE8599884.1	GCA_905237085.1	plasma_membrane	K01535	7.30E-241	802.9	585.47	95	894	100	870	900	94	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAE8620085.1	GCA_905237085.1	plasma_membrane	K21407	4.80E-77	260.4	301.8	31	373	78	418	373	30	True	True	APMAP; adipocyte plasma membrane-associated protein
CAL1170237.1	GCA_947184155.2	plasma_membrane	K01535	1.30E-233	778.9	585.47	426	1449	85	960	2768	425	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAL1172295.1	GCA_947184155.2	plasma_membrane	K01535	9.50E-245	815.7	585.47	64	885	99	889	971	63	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9023964.1	GCA_963969995.1	plasma_membrane	K01535	1.30E-254	848.3	585.47	32	892	99	907	929	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9056491.1	GCA_963969995.1	plasma_membrane	K01535	4.40E-254	846.6	585.47	32	888	99	903	929	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9066096.1	GCA_963969995.1	plasma_membrane	K01535	2.80E-246	820.8	585.47	68	882	100	882	1381	67	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9067332.1	GCA_963969995.1	plasma_membrane	K01535	8.10E-247	822.6	585.47	32	903	99	903	944	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9101015.1	GCA_963969995.1	plasma_membrane	K01535	2.50E-229	764.7	585.47	11	924	91	924	972	10	True	False	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9101060.1	GCA_963969995.1	plasma_membrane	K01535	2.40E-228	761.4	585.47	11	923	91	923	972	10	True	False	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9113772.1	GCA_963969995.1	plasma_membrane	K01535	1.80E-254	847.9	585.47	32	901	99	917	1480	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK8989155.1	GCA_963970005.1	plasma_membrane	K01535	1.00E-224	749.4	585.47	154	1514	78	1156	1553	153	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK8989292.1	GCA_963970005.1	plasma_membrane	K01535	3.90E-228	760.7	585.47	11	923	91	923	972	10	True	False	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9066522.1	GCA_963970005.1	plasma_membrane	K01535	7.70E-229	763.0	585.47	76	955	100	882	1341	75	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9066834.1	GCA_963970005.1	plasma_membrane	K01535	6.60E-247	822.9	585.47	749	1570	100	889	1652	748	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9115379.1	GCA_963970005.1	plasma_membrane	K01535	1.50E-253	844.9	585.47	32	889	99	903	930	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9115557.1	GCA_963970005.1	plasma_membrane	K01535	4.40E-254	846.6	585.47	32	888	99	903	929	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
CAK9118467.1	GCA_963970005.1	plasma_membrane	K01535	1.10E-255	851.9	585.47	32	885	99	918	1473	31	True	True	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]
OLP79648.1	GCA_001939145.1	plastid	K02716	6.40E-96	322.4	105.33	58	323	69	334	325	57	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
OLP79983.1	GCA_001939145.1	plastid	K02636	2.10E-55	189.0	112.37	314	522	48	231	1617	313	True	True	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
OLP80324.1	GCA_001939145.1	plastid	K02720	1.80E-47	161.6	121.9	1503	1648	21	170	1945	1502	True	True	psbV; photosystem II cytochrome c550
OLP82291.1	GCA_001939145.1	plastid	K02719	2.10E-31	109.3	105.6	57	189	7	142	189	56	True	True	psbU; photosystem II PsbU protein
OLP82292.1	GCA_001939145.1	plastid	K02719	2.10E-31	109.3	105.6	57	189	7	142	189	56	True	True	psbU; photosystem II PsbU protein
OLP82293.1	GCA_001939145.1	plastid	K02719	2.00E-29	102.8	105.6	57	187	7	140	269	56	True	True	psbU; photosystem II PsbU protein
OLP84698.1	GCA_001939145.1	plastid	K00855	1.10E-112	377.8	214.23	88	446	80	408	1089	87	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
OLP88307.1	GCA_001939145.1	plastid	K01100	1.30E-129	434.1	337.8	67	392	43	363	394	66	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
OLP90343.1	GCA_001939145.1	plastid	K02694	5.70E-45	154.4	107.03	74	266	36	210	496	73	True	True	psaF; photosystem I subunit III
OLQ01873.1	GCA_001939145.1	plastid	K01100	9.70E-129	431.2	337.8	76	405	42	363	407	75	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
OLQ02080.1	GCA_001939145.1	plastid	K02719	3.10E-32	111.9	105.6	78	205	12	142	205	77	True	True	psbU; photosystem II PsbU protein
OLQ02081.1	GCA_001939145.1	plastid	K02719	2.70E-30	105.7	105.6	61	185	13	140	329	60	True	True	psbU; photosystem II PsbU protein
CAE7229721.1	GCA_905221605.1	plastid	K02719	1.40E-32	113.1	105.6	63	188	14	142	188	62	True	True	psbU; photosystem II PsbU protein
CAE7229726.1	GCA_905221605.1	plastid	K02719	1.40E-32	113.1	105.6	63	188	14	142	188	62	True	True	psbU; photosystem II PsbU protein
CAE7229731.1	GCA_905221605.1	plastid	K02719	2.40E-32	112.3	105.6	97	222	14	142	222	96	True	True	psbU; photosystem II PsbU protein
CAE7229735.1	GCA_905221605.1	plastid	K02719	1.40E-32	113.1	105.6	63	188	14	142	188	62	True	True	psbU; photosystem II PsbU protein
CAE7229740.1	GCA_905221605.1	plastid	K02719	1.40E-32	113.1	105.6	63	188	14	142	188	62	True	True	psbU; photosystem II PsbU protein
CAE7229747.1	GCA_905221605.1	plastid	K02719	1.40E-32	113.1	105.6	63	188	14	142	188	62	True	True	psbU; photosystem II PsbU protein
CAE7279782.1	GCA_905221605.1	plastid	K02720	1.60E-53	181.4	121.9	76	225	24	173	226	75	True	True	psbV; photosystem II cytochrome c550
CAE7333727.1	GCA_905221605.1	plastid	K02719	3.20E-27	95.7	105.6	717	840	14	142	840	716	True	True	psbU; photosystem II PsbU protein
CAE7415464.1	GCA_905221605.1	plastid	K02720	2.50E-49	167.7	121.9	206	364	18	173	365	205	True	True	psbV; photosystem II cytochrome c550
CAE7415479.1	GCA_905221605.1	plastid	K02720	1.00E-48	165.8	121.9	341	495	21	173	496	340	True	True	psbV; photosystem II cytochrome c550
CAE7449733.1	GCA_905221605.1	plastid	K01100	1.10E-124	417.8	337.8	66	388	37	355	511	65	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE7550460.1	GCA_905221605.1	plastid	K00855	3.00E-117	392.9	214.23	109	448	69	404	450	108	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE7616486.1	GCA_905221605.1	plastid	K02694	7.90E-45	153.9	107.03	72	267	34	212	276	71	True	True	psaF; photosystem I subunit III
CAE7616502.1	GCA_905221605.1	plastid	K02694	7.90E-45	153.9	107.03	72	267	34	212	276	71	True	True	psaF; photosystem I subunit III
CAE7287242.1	GCA_905231915.1	plastid	K00855	1.30E-118	397.4	214.23	88	406	80	404	408	87	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE7416228.1	GCA_905231915.1	plastid	K02636	1.30E-56	193.0	112.37	12	219	43	222	220	11	True	False	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
CAE7417340.1	GCA_905231915.1	plastid	K02719	8.80E-32	110.5	105.6	14	146	7	142	146	13	False	False	psbU; photosystem II PsbU protein
CAE7463195.1	GCA_905231915.1	plastid	K01100	9.70E-129	431.2	337.8	76	405	42	363	407	75	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE7762028.1	GCA_905231915.1	plastid	K00855	2.00E-117	393.5	214.23	91	409	80	404	411	90	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE7836148.1	GCA_905231915.1	plastid	K02720	2.70E-47	161.1	121.9	75	245	9	173	246	74	False	True	psbV; photosystem II cytochrome c550
CAE7944191.1	GCA_905231915.1	plastid	K01100	1.30E-129	434.0	337.8	73	398	43	363	400	72	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE8585744.1	GCA_905237085.1	plastid	K02720	5.20E-52	176.5	121.9	74	223	21	173	224	73	True	True	psbV; photosystem II cytochrome c550
CAE8585745.1	GCA_905237085.1	plastid	K02720	5.20E-52	176.5	121.9	74	223	21	173	224	73	True	True	psbV; photosystem II cytochrome c550
CAE8585746.1	GCA_905237085.1	plastid	K02720	5.30E-52	176.4	121.9	74	223	21	173	224	73	True	True	psbV; photosystem II cytochrome c550
CAE8585747.1	GCA_905237085.1	plastid	K02720	5.20E-52	176.5	121.9	74	223	21	173	224	73	True	True	psbV; photosystem II cytochrome c550
CAE8585748.1	GCA_905237085.1	plastid	K02720	5.30E-52	176.4	121.9	74	223	21	173	224	73	True	True	psbV; photosystem II cytochrome c550
CAE8588565.1	GCA_905237085.1	plastid	K08902	4.20E-32	112.0	58.97	98	272	23	165	272	97	True	True	psb27; photosystem II Psb27 protein
CAE8590304.1	GCA_905237085.1	plastid	K02720	3.20E-51	173.9	121.9	80	225	25	173	226	79	False	True	psbV; photosystem II cytochrome c550
CAE8597045.1	GCA_905237085.1	plastid	K01100	2.90E-126	423.0	337.8	86	412	43	362	413	85	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE8597046.1	GCA_905237085.1	plastid	K01100	2.90E-126	423.0	337.8	86	412	43	362	413	85	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE8598954.1	GCA_905237085.1	plastid	K00855	6.80E-110	368.7	214.23	89	411	77	402	413	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8600159.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8600160.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8600161.1	GCA_905237085.1	plastid	K02694	4.90E-42	144.8	107.03	75	261	36	213	270	74	True	True	psaF; photosystem I subunit III
CAE8600162.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8600163.1	GCA_905237085.1	plastid	K02694	5.00E-42	144.8	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8601983.1	GCA_905237085.1	plastid	K00855	2.80E-109	366.6	214.23	88	415	71	402	417	87	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8604035.1	GCA_905237085.1	plastid	K00855	9.10E-109	364.9	214.23	90	411	77	402	413	89	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8604036.1	GCA_905237085.1	plastid	K00855	1.40E-108	364.3	214.23	89	411	77	402	413	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8606358.1	GCA_905237085.1	plastid	K01100	2.90E-126	423.0	337.8	86	412	43	362	413	85	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE8606359.1	GCA_905237085.1	plastid	K01100	2.90E-126	423.0	337.8	86	412	43	362	413	85	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAE8607293.1	GCA_905237085.1	plastid	K02716	5.10E-91	306.2	105.33	71	338	69	336	342	70	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAE8609312.1	GCA_905237085.1	plastid	K02720	2.50E-51	174.2	121.9	72	221	21	173	222	71	True	True	psbV; photosystem II cytochrome c550
CAE8609313.1	GCA_905237085.1	plastid	K02720	2.50E-51	174.2	121.9	72	221	21	173	222	71	True	True	psbV; photosystem II cytochrome c550
CAE8609315.1	GCA_905237085.1	plastid	K02720	2.50E-51	174.2	121.9	72	221	21	173	222	71	True	True	psbV; photosystem II cytochrome c550
CAE8609880.1	GCA_905237085.1	plastid	K02719	3.20E-29	102.2	105.6	70	195	14	142	195	69	True	True	psbU; photosystem II PsbU protein
CAE8610045.1	GCA_905237085.1	plastid	K00855	2.20E-108	363.7	214.23	89	411	77	402	413	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8610046.1	GCA_905237085.1	plastid	K00855	5.20E-109	365.8	214.23	89	411	77	402	413	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8615313.1	GCA_905237085.1	plastid	K02716	3.40E-91	306.8	105.33	69	340	65	336	344	68	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAE8615608.1	GCA_905237085.1	plastid	K00855	5.80E-109	365.6	214.23	12	327	80	402	329	11	True	False	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8617427.1	GCA_905237085.1	plastid	K02719	1.70E-29	103.1	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8617428.1	GCA_905237085.1	plastid	K02719	4.60E-29	101.7	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8617429.1	GCA_905237085.1	plastid	K02719	4.60E-29	101.7	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8617430.1	GCA_905237085.1	plastid	K02719	2.10E-28	99.5	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8620116.1	GCA_905237085.1	plastid	K00855	1.40E-108	364.4	214.23	90	411	77	402	413	89	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8620117.1	GCA_905237085.1	plastid	K00855	1.10E-108	364.6	214.23	89	410	77	402	412	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8620118.1	GCA_905237085.1	plastid	K00855	1.40E-108	364.4	214.23	90	411	77	402	413	89	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8620119.1	GCA_905237085.1	plastid	K00855	1.30E-108	364.4	214.23	88	410	77	402	412	87	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8620120.1	GCA_905237085.1	plastid	K00855	1.20E-108	364.5	214.23	90	411	77	402	413	89	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAE8620201.1	GCA_905237085.1	plastid	K02694	4.60E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8620202.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8620203.1	GCA_905237085.1	plastid	K02694	4.90E-42	144.8	107.03	75	261	36	213	270	74	True	True	psaF; photosystem I subunit III
CAE8620204.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8620205.1	GCA_905237085.1	plastid	K02694	4.70E-42	144.9	107.03	74	260	36	213	269	73	True	True	psaF; photosystem I subunit III
CAE8623482.1	GCA_905237085.1	plastid	K02716	5.10E-91	306.2	105.33	71	338	69	336	342	70	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAE8628627.1	GCA_905237085.1	plastid	K02636	1.00E-34	120.9	112.37	80	233	42	203	235	79	True	True	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
CAE8629784.1	GCA_905237085.1	plastid	K02720	4.90E-52	176.5	121.9	71	220	21	173	221	70	True	True	psbV; photosystem II cytochrome c550
CAE8632202.1	GCA_905237085.1	plastid	K08902	4.20E-32	112.0	58.97	99	272	24	165	272	98	True	True	psb27; photosystem II Psb27 protein
CAE8641774.1	GCA_905237085.1	plastid	K08902	4.20E-32	112.0	58.97	99	272	24	165	272	98	True	True	psb27; photosystem II Psb27 protein
CAE8643733.1	GCA_905237085.1	plastid	K02719	1.60E-29	103.1	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643734.1	GCA_905237085.1	plastid	K02719	4.60E-29	101.7	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643735.1	GCA_905237085.1	plastid	K02719	4.60E-29	101.7	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643736.1	GCA_905237085.1	plastid	K02719	2.10E-28	99.5	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643737.1	GCA_905237085.1	plastid	K02719	2.10E-28	99.5	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643738.1	GCA_905237085.1	plastid	K02719	2.10E-28	99.5	105.6	68	193	14	142	193	67	True	True	psbU; photosystem II PsbU protein
CAE8643739.1	GCA_905237085.1	plastid	K02719	2.10E-28	99.5	105.6	69	193	15	142	193	68	True	True	psbU; photosystem II PsbU protein
CAE8643812.1	GCA_905237085.1	plastid	K00855	6.80E-110	368.7	214.23	89	411	77	402	413	88	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAL1131065.1	GCA_947184155.2	plastid	K02720	4.60E-50	170.1	121.9	67	215	22	174	414	66	True	True	psbV; photosystem II cytochrome c550
CAL1131070.1	GCA_947184155.2	plastid	K02720	6.40E-51	172.9	121.9	53	201	22	174	201	52	True	True	psbV; photosystem II cytochrome c550
CAL1131073.1	GCA_947184155.2	plastid	K02720	1.80E-49	168.2	121.9	694	841	23	174	841	693	True	True	psbV; photosystem II cytochrome c550
CAL1131086.1	GCA_947184155.2	plastid	K02720	6.60E-51	172.9	121.9	67	215	22	174	215	66	True	True	psbV; photosystem II cytochrome c550
CAL1136211.1	GCA_947184155.2	plastid	K00855	2.40E-115	386.6	214.23	862	1182	78	404	1184	861	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAL1136215.1	GCA_947184155.2	plastid	K00855	8.60E-119	398.0	214.23	91	418	78	404	420	90	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAL1136287.1	GCA_947184155.2	plastid	K02716	2.80E-95	320.3	105.33	57	324	67	334	326	56	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1136293.1	GCA_947184155.2	plastid	K02716	2.80E-95	320.3	105.33	57	324	67	334	326	56	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1136296.1	GCA_947184155.2	plastid	K02716	3.20E-95	320.1	105.33	57	324	67	334	326	56	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1136299.1	GCA_947184155.2	plastid	K02716	2.80E-95	320.3	105.33	57	324	67	334	326	56	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1136301.1	GCA_947184155.2	plastid	K02716	1.00E-92	311.8	105.33	56	327	66	334	329	55	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1146491.1	GCA_947184155.2	plastid	K01100	1.40E-124	417.5	337.8	78	391	47	355	1724	77	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAL1165894.1	GCA_947184155.2	plastid	K02692	1.00E-48	167.0	148.53	283	526	42	261	601	282	True	True	psaD; photosystem I subunit II
CAL1166608.1	GCA_947184155.2	plastid	K02719	2.80E-33	115.3	105.6	60	184	14	142	184	59	True	True	psbU; photosystem II PsbU protein
CAL1167978.1	GCA_947184155.2	plastid	K02716	5.40E-94	316.0	105.33	57	323	67	333	751	56	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAL1172623.1	GCA_947184155.2	plastid	K02719	1.00E-32	113.5	105.6	59	188	9	142	188	58	True	True	psbU; photosystem II PsbU protein
CAK8989063.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989065.1	GCA_963969995.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989067.1	GCA_963969995.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989069.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989071.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989073.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989075.1	GCA_963969995.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989077.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989079.1	GCA_963969995.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989081.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989083.1	GCA_963969995.1	plastid	K02720	1.80E-52	178.0	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK8989247.1	GCA_963969995.1	plastid	K02720	8.20E-49	166.0	121.9	705	840	30	168	1013	704	True	True	psbV; photosystem II cytochrome c550
CAK9012986.1	GCA_963969995.1	plastid	K02719	1.00E-32	113.5	105.6	61	184	15	142	184	60	True	True	psbU; photosystem II PsbU protein
CAK9025087.1	GCA_963969995.1	plastid	K02716	1.90E-94	317.5	105.33	50	329	55	334	331	49	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAK9055489.1	GCA_963969995.1	plastid	K02720	5.00E-43	147.2	121.9	21	136	31	149	149	20	True	True	psbV; photosystem II cytochrome c550
CAK9055512.1	GCA_963969995.1	plastid	K02720	5.00E-43	147.2	121.9	21	136	31	149	149	20	True	True	psbV; photosystem II cytochrome c550
CAK9078599.1	GCA_963969995.1	plastid	K00855	7.00E-117	391.7	214.23	528	846	79	403	847	527	True	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAK9081463.1	GCA_963969995.1	plastid	K01100	2.30E-128	429.9	337.8	61	403	30	363	405	60	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAK9109217.1	GCA_963969995.1	plastid	K02716	4.40E-92	309.7	105.33	53	322	65	334	324	52	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAK9005868.1	GCA_963970005.1	plastid	K01100	4.80E-125	419.0	337.8	61	394	30	354	423	60	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAK9006207.1	GCA_963970005.1	plastid	K01100	2.30E-128	429.9	337.8	61	403	30	363	405	60	True	True	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
CAK9012866.1	GCA_963970005.1	plastid	K02716	4.40E-92	309.7	105.33	53	322	65	334	324	52	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAK9013293.1	GCA_963970005.1	plastid	K02716	4.40E-92	309.7	105.33	53	322	65	334	324	52	True	True	psbO; photosystem II oxygen-evolving enhancer protein 1
CAK9026519.1	GCA_963970005.1	plastid	K02719	1.00E-32	113.5	105.6	61	184	15	142	184	60	True	True	psbU; photosystem II PsbU protein
CAK9030633.1	GCA_963970005.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK9030634.1	GCA_963970005.1	plastid	K02720	2.10E-52	177.7	121.9	74	215	30	174	215	73	True	True	psbV; photosystem II cytochrome c550
CAK9030839.1	GCA_963970005.1	plastid	K02719	1.00E-32	113.5	105.6	61	184	15	142	184	60	True	True	psbU; photosystem II PsbU protein
CAK9033065.1	GCA_963970005.1	plastid	K02636	5.80E-59	200.7	112.37	21	246	44	222	246	20	True	True	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
CAK9075685.1	GCA_963970005.1	plastid	K00855	2.70E-112	376.6	214.23	47	365	79	396	375	46	False	True	PRK, prk; phosphoribulokinase [EC:2.7.1.19]
CAK9077073.1	GCA_963970005.1	plastid	K02719	7.10E-33	114.0	105.6	14	144	8	142	144	13	True	False	psbU; photosystem II PsbU protein
